id_store,name,opening_hours,opening_hours_source
1,GALERIES LAFAYETTE Luxembourg,"Mo-Sa 10:00-19:00; PH off",osm
2,BHV RIVOLI,"Mo-Sa 10:00-20:00; Su 11:00-19:00",osm
3,GALERIES LAFAYETTE AGEN,"Mo-Fr 10:00-19:00; Sa 10:00-19:30",osm
4,GALERIES LAFAYETTE AMIENS,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
9,GALERIES LAFAYETTE BAYONNE,"Mo-Sa 10:00-20:00",osm
11,GALERIES LAFAYETTE BEAUVAIS,"Mo-Sa 10:00-19:30; Su off",osm
13,GALERIES LAFAYETTE BESANCON,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
14,GALERIES LAFAYETTE BEZIERS,"Mo-Fr 10:00-19:00; Sa 09:30-19:30",osm
15,GALERIES LAFAYETTE CAEN,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
16,GALERIES LAFAYETTE CANNES,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
20,GALERIES LAFAYETTE CHAMBERY,"Mo-Sa 10:00-19:30",osm
21,GALERIES LAFAYETTE CLERMONT FERRAND,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
26,GALERIES LAFAYETTE LA ROCHELLE,"Mo-Su 10:00-19:30",osm
34,GALERIES LAFAYETTE MARSEILLE BOURSE,"Mo-Sa 10:00-20:00; PH off",osm
36,GALERIES LAFAYETTE METZ,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
38,GALERIES LAFAYETTE MONTPELLIER,"Mo-Sa 10:00-20:00",osm
39,GALERIES LAFAYETTE NANTES DECRE,"Mo-Sa 10:00-20:00; Su off",osm
41,GALERIES LAFAYETTE NIORT,"Tu-Sa 10:00-19:00; Mo 14:00-19:00",osm
42,GALERIES LAFAYETTE ORLEANS,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
43,GALERIES LAFAYETTE PAU,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
44,GALERIES LAFAYETTE PERPIGNAN,"Mo-Sa 10:00-19:30",osm
45,GALERIES LAFAYETTE REIMS,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
46,GALERIES LAFAYETTE RENNES,"Mo-Sa 10:00-20:00",osm
48,GALERIES LAFAYETTE ROUEN,"Mo-Fr 09:30-19:30; Sa 09:30-20:00",osm
49,GALERIES LAFAYETTE SAINTES,"Mo-Sa 10:00-19:00",osm
50,GALERIES LAFAYETTE STRASBOURG,"Mo-Sa 10:00-20:00",osm
51,GALERIES LAFAYETTE TARBES,"Mo-Sa 10:00-19:30",osm
52,GALERIES LAFAYETTE TOULON,"Mo-Sa 10:00-19:30",osm
53,GALERIES LAFAYETTE TOULOUSE LAPEYROU,"Mo-Sa 10:00-20:00",osm
54,GALERIES LAFAYETTE TOURS,"Mo-Fr 10:00-19:30; Sa 10:00-20:00",osm
55,GALERIES LAFAYETTE LANGON,"Mo 14:30-19:30; Tu-Sa 10:00-19:30",osm
61,BEAUTY SUCCESS BERGERAC CITRON VERT,"Tu-Sa 09:00-19:00; Mo 10:00-19:00",osm
72,BEAUTY SUCCESS ST JEAN DE LUZ,"Mo-Su 10:00-19:00",osm
77,BEAUTY SUCCESS LE BOUSCAT,"Tu-Fr 10:00-19:00; Sa 09:30-19:00; Su 10:00-19:00",osm
91,BEAUTY SUCCESS BARCELONNETTE,"Tu-Sa 09:00-13:00,15:00-19:00",osm
110,BEAUTY SUCCESS BAR LE DUC,"Mo 14:00-19:00; Tu-Th 09:00-12:00,14:00-19:00; Fr-Sa 09:00-19:00; Su off",osm
120,BEAUTY SUCCESS ST MARTIN DE RE,"Mo-Su 09:30-19:00",osm
151,BEAUTY SUCCESS DECAZEVILLE,"Tu-Sa 09:00-19:00",osm
159,BEAUTY SUCCESS RENNES LONGCHAMPS RI,"Mo-Sa 09:30-19:00; PH closed",osm
174,BEAUTY SUCCESS ORTHEZ RI,"Mo-Sa 09:30-19:00",osm
191,BEAUTY SUCCESS PROVINS RI,"Mo-Sa 09:30-19:00",osm
205,BEAUTY SUCCESS LANNION,"Tu-Sa 09:00-19:00; Mo 10:00-12:00,14:00-19:00",osm
218,BEAUTY SUCCESS NANTERRE,"Tu-Sa 10:00-19:00",osm
242,BEAUTY SUCCESS PARIS GARE MONTPARNASSE,"Mo-Sa 08:00-20:00; Su 10:00-20:00",osm
250,IDELINE,"Mo,Sa 09:00-12:00,14:00-17:00; Tu-Fr 09:00-12:00,14:00-19:00",osm
262,Au bien être,"Tu-Fr 09:00-19:00; Sa 09:00-18:00",osm
281,LES CISEAUX DE FANNY,"Mo,Th 08:30-15:30; Tu,Fr 08:30-19:00; Sa 08:00-13:00",osm
